date,price
07-01-2016 21:30,32.60085867
07-01-2016 22:30,26.39012925
07-01-2016 23:30,27.27466408
08-01-2016 00:30,25.59395242
08-01-2016 01:30,24.85788783
08-01-2016 02:30,23.43455775
08-01-2016 03:30,24.09500467
08-01-2016 04:30,24.58759908
08-01-2016 05:30,29.75149625
08-01-2016 06:30,110.8405802
08-01-2016 07:30,29.94123558
08-01-2016 08:30,23.9398895
08-01-2016 09:30,23.61636958
08-01-2016 10:30,21.94102958
08-01-2016 11:30,20.78087133
08-01-2016 12:30,17.49294917
08-01-2016 13:30,15.30089875
08-01-2016 14:30,21.55761433
08-01-2016 15:30,23.30131558
08-01-2016 16:30,26.58912342
08-01-2016 17:30,34.52972283
08-01-2016 18:30,32.15099308
08-01-2016 19:30,34.7210405
08-01-2016 20:30,34.76167025
08-01-2016 21:30,33.53096708
08-01-2016 22:30,30.3112255
08-01-2016 23:30,25.31151833
09-01-2016 00:30,26.94281725
09-01-2016 01:30,27.09191575
09-01-2016 02:30,31.17837933
09-01-2016 03:30,31.531606
09-01-2016 04:30,28.63126792
09-01-2016 05:30,30.93659608
09-01-2016 06:30,32.12035992
09-01-2016 07:30,31.74909108
09-01-2016 08:30,27.34564142
09-01-2016 09:30,24.80995792
09-01-2016 10:30,29.33771675
09-01-2016 11:30,25.82169158
09-01-2016 12:30,28.2884645
09-01-2016 13:30,35.95055992
09-01-2016 14:30,40.534378
09-01-2016 15:30,26.11759317
09-01-2016 16:30,29.84230683
09-01-2016 17:30,28.82559392
09-01-2016 18:30,27.90258167
09-01-2016 19:30,27.11672167
09-01-2016 20:30,28.71937125
09-01-2016 21:30,32.95004833
09-01-2016 22:30,26.60404442
09-01-2016 23:30,24.14915083
10-01-2016 00:30,23.99700908
10-01-2016 01:30,23.52152092
10-01-2016 02:30,22.99539467
10-01-2016 03:30,22.93339942
10-01-2016 04:30,22.64357717
10-01-2016 05:30,23.49517608
10-01-2016 06:30,25.46854192
10-01-2016 07:30,25.99280867
10-01-2016 08:30,31.98599383
10-01-2016 09:30,27.58156175
10-01-2016 10:30,24.26975267
10-01-2016 11:30,24.30008942
10-01-2016 12:30,26.75592217
10-01-2016 13:30,33.64774725
10-01-2016 14:30,31.06323383
10-01-2016 15:30,29.50731008
10-01-2016 16:30,32.20589175
10-01-2016 17:30,30.80071017
10-01-2016 18:30,59.43569275
10-01-2016 19:30,30.841656
10-01-2016 20:30,27.81223858
10-01-2016 21:30,25.59638158
10-01-2016 22:30,24.467537
10-01-2016 23:30,24.07711533
11-01-2016 00:30,23.70699917
11-01-2016 01:30,23.486934
11-01-2016 02:30,23.71135658
11-01-2016 03:30,23.88656633
11-01-2016 04:30,23.37630833
11-01-2016 05:30,26.76367442
11-01-2016 06:30,34.70693742
11-01-2016 07:30,29.1482105
11-01-2016 08:30,26.10821717
11-01-2016 09:30,25.98531975
11-01-2016 10:30,22.62000833
11-01-2016 11:30,19.67401975
11-01-2016 12:30,20.38134275
11-01-2016 13:30,22.97056475
11-01-2016 14:30,25.45412725
11-01-2016 15:30,25.39702083
11-01-2016 16:30,31.492062
11-01-2016 17:30,31.44130975
11-01-2016 18:30,41.12889025
11-01-2016 19:30,32.12946925
11-01-2016 20:30,27.61531242
11-01-2016 21:30,27.45316275
11-01-2016 22:30,25.07132617
11-01-2016 23:30,24.185725
12-01-2016 00:30,24.25104317
12-01-2016 01:30,24.26582958
12-01-2016 02:30,23.64858867
12-01-2016 03:30,23.04363525
12-01-2016 04:30,23.860705
12-01-2016 05:30,26.87447942
12-01-2016 06:30,33.44855725
12-01-2016 07:30,26.436154
12-01-2016 08:30,22.99596983
12-01-2016 09:30,21.01430717
12-01-2016 10:30,-1.015950667
12-01-2016 11:30,2.189083833
12-01-2016 12:30,2.81367075
12-01-2016 13:30,3.769402917
12-01-2016 14:30,16.98763792
12-01-2016 15:30,22.98617633
12-01-2016 16:30,28.16019242
12-01-2016 17:30,26.55053942
12-01-2016 18:30,26.86726658
12-01-2016 19:30,150.8108422
12-01-2016 20:30,46.65798842
12-01-2016 21:30,27.26072117
